32,6.0,0.0,30.0,0.0,1.0
37,6.0,3.0,19.0,0.0,6.0
33,7.0,1.0,32.0,1.0,4.0
33,2.0,1.0,17.0,0.0,10.0
36,2.0,1.0,24.0,2.0,5.0
34,8.0,0.0,47.0,0.0,4.0
33,1.0,2.0,30.0,1.0,5.0
39,4.0,1.0,31.0,0.0,3.0
36,3.0,2.0,34.0,5.0,3.0
35,6.0,1.0,42.0,0.0,2.0
30,6.0,1.0,28.0,1.0,1.0
32,4.0,0.0,37.0,0.0,2.0
32,8.0,0.0,39.0,0.0,4.0
35,7.0,1.0,60.0,0.0,1.0
38,6.0,0.0,30.0,0.0,1.0
32,2.0,1.0,24.0,2.0,5.0
39,7.0,0.0,38.0,0.0,5.0
36,3.0,1.0,18.0,1.0,7.0
34,2.0,1.0,39.0,0.0,3.0
31,2.0,1.0,39.0,0.0,3.0
