39,4.0,1.0,25.0,5.0,1.0
31,4.0,0.0,29.0,0.0,9.0
39,9.0,1.0,37.0,1.0,6.0
31,2.0,0.0,37.0,1.0,6.0
37,7.0,1.0,34.0,1.0,0.0
30,5.0,1.0,38.0,0.0,3.0
32,6.0,0.0,22.0,0.0,6.0
34,7.0,1.0,36.0,0.0,4.0
36,6.0,1.0,38.0,2.0,6.0
36,1.0,0.0,32.0,1.0,2.0
38,1.0,0.0,28.0,0.0,9.0
35,5.0,0.0,33.0,0.0,9.0
38,5.0,2.0,18.0,1.0,9.0
33,8.0,0.0,28.0,0.0,2.0
36,14.0,2.0,49.0,3.0,2.0
37,6.0,2.0,36.0,1.0,6.0
31,1.0,0.0,28.0,1.0,3.0
31,5.0,0.0,27.0,0.0,2.0
37,5.0,2.0,40.0,1.0,1.0
37,2.0,0.0,21.0,0.0,9.0
